"productName","revAuthor","revText","revRating"
"Bose SoundLink Mini Bluetooth Speaker II (Carbon)","Robert Walden","Based on a stupid amount of research and reviews I purchased the Bose SoundLink Mini II and the JBL Charge 3 for review to replace an aging Monster Clarity Bluetooth speaker I had been using for beaches/pools/vacations. Disclaimer: I have never liked Bose anything. I have always thought their product was overrated junk marketed to less than savvy consumers. After reading multiple reviews from sources I trusted, I landed on the MiniLink II and the JBL Charge 3 as best options for my needs. Outside of my mentioned purchases I informally ""reviewed"" several other Bluetooth speakers owned by friends. None of them were worthy of mention here.In summary (and to my surprise): the MiniLink II produced the highest quality audio of any wireless speaker device I have auditioned. It is the unit I kept, and will continue to use. For context, I almost exclusively listen to Spotify on this device, and almost exclusively around the pool. From a music reproduction perspective, nothing I have heard in this price range matches the MiniLink II for wireless sound. It emits truly high-quality audio. However, it is not as loud as the JBL Charge 3. If you are looking for pure volume, the Charge 3 is easily louder. Does this matter? Well, if you are simply looking for something you can hear at a loud pool, the Charge 3 is the better option. It does not have the low-end or fullness of the MiniLink II, nor does it as accurately reproduce audio, but it can attain more audible volumes at large gatherings.I'm not entirely sure these are the best two devices to compare, but if you are looking for great audio, go with the Bose. If  you are looking for loudness, go with the Charge 3.Nobody gave me anything to do this review.",4
"Bose SoundLink Mini Bluetooth Speaker II (Carbon)","Stuart Goldberg","I bought the original Soundlink Mini about three years ago and have been very happy with it.  I used it at home and at my office.  In my office, I had to keep it at a low volume but it never sounded muffled and delivered clear and crisp highs and sonorous lows.  At home with the volume cranked up, it never failed to deliver.  When the updated version came out, I hesitated but the updates made it worth jumping into the newer version.  My original unit is now gracing my sister's home.The ability to use it as a speakerphone is a handy feature.  Callers have noted that my voice sounds clear.  An incoming call can be answered (or refused) with a tap of a button on top of the unit.For me,  the more noteworthy improvement is in the Bluetooth implementation.  This newer unit has the ability to remember up to eight paired devices and actively (and concurrently) be paired with two of them.  When you turn it on, the unit announces the battery level and to which two devices it is paired.  (The audible prompts can be disabled.)  At that point, it will play content from the first device which is outputting audio content.  If that device stops and the other device starts playing, the speaker will seamlessly switch to that second device.  My device automatically connects to my laptop and smartphone.  It remembers my Kindle Fire and, if the laptop is off, will connect to the Kindle.  Very clever.  Bose has replicated this Bluetooth implementation on their other devices.They have also increased the battery life and changed from a proprietary charging connector to a standard mini-USB port.  All-in-all a worthy update.",5
"Bose SoundLink Mini Bluetooth Speaker II (Carbon)","Kelly & Joey","Please let me know if my review was helpful to you. This will encourage me to continue writing and updating my reviews, and leave a comment if you have any questions, I will be more than happy to answer if I can be of help :)Simply put Bose SoundLink Mini II is possibly the best all around portable bluetooth speaker on the market. The speaker has plentiful of features such as ability to work as a speakerphone, charge through USB outlets or on its own cradle, remembering multiple bluetooth devices and pairing to two bluetooth devices at once. Many of the features do not really even matter to me–I'm happy that it pairs to my phone and plays my music with wonderful audio quality.Pairing process was very simple, after selecting language in the beginning the speaker automatically put itself in pairing mode and thus I was able to get music playing in less than 30 seconds from the point of turning it on. There are + and - buttons on the speakers to adjust volume if needed by I personally control volume and music playback through my phone instead. Not that there's something wrong with the buttons, it's just a personal preference.FEATURES:* Big sound--with deep bass--for a full-range listening experience* Wireless and ultra-compact so you can take Bose sound anywhere* Built-in speakerphone lets you take calls out loud* Voice prompts talk you through Bluetooth pairing, so it's super easy* Lithium-ion battery plays up to 10 hours on full charge",5
"Bose SoundLink Mini Bluetooth Speaker II (Carbon)","Eric Andrei","Let me start off by saying that I am both a tech junkie and music lover. Sorry, no audio industry experience or sound engineer degrees to tout here, I'm just a guy who likes music and stereos. Everything from HiFi systems to desktop speakers to PA gear to little bluetooth speakers like this Bose Soundlink Mini II.Here's what we need to clear off the plate before we get started. This is a $200 speaker designed to be portable, and should be treated as such. There are critical reviews in here that are pegging this speaker next to sound systems that do not even serve the same purpose as the Bose SoundLink Mini II. I have a few other systems to serve other purposes in my life: a Bower & Wilkins + McIntosh stereo system, KRK Rokit Monitors, just to name the two most enjoyed setups I have.But here's the thing. I needed something portable. Sleek. Reliable. Something I could carry around my apartment from my bedroom to my kitchen to my bathroom. And that same speaker needed to have the ability to be thrown into my backpack when I go to my girlfriend's house or off to a friend's place for the weekend. I looked at other speakers, such as the Beats Pill and UE Boom. Which did I like best? The Bose SoundLink Mini II. I'm not a Bose fan, it's just not in my pedigree. I had a few products from Bose in the past and simply wasn't impressed by the hype (Bose 3-2-1, the original noise cancelling headphones, Bose 802 Series II PA/DJ speakers).The SoundLink Mini II has since removed my brand bias. It's simply amazing. And to make a long story short, I love it. My roommate had the previous generation SoundLink Mini and I enjoyed connecting my iPhone to it when we had social gatherings in our old loft apartment. Back then it filled the living room with more than enough sound with 10 people in the room to converse over. I have since moved to a smaller apartment, but needed something I could listen to in all rooms of my current living space- something I could not do with my KRK Rokit 5 setup which I would connect to via AirPlay.This little speaker provides great sound, albeit a bit too bassy for my taste. Solution: I set the Spotify EQ to ""Bass Reduction"" and the output is just where I want it to be. I listen to all genres of music, but 70% of the time focus my attention on electronic, Top40, and Hip Hop, and this speaker does just the thing for me. The added convenience of a Micro USB charging port as well as dual bluetooth connection makes using this speaker so much easier than the last version. Happy to see Bose listened to the critics before releasing their second revision of the speaker.I have had this speaker for a mere 4 days and am very happy with it. I purchased the OEM Bose rubber bumper case for it, as well as a third party soft case, and now I'm ready to bring this where ever I need to go. It's the perfect tool for a city dweller on the run like myself, but this is easily at home on any kitchen countertop or office desk.Don't hesitate to purchase this- the other speakers in its class (key point when comparing this speaker) simply cannot compete with the Bose. Sure, you can buy the cheaper UE Boom 2, but it's also cheaper in build quality and aesthetics. Leave the UE Boom for college freshman. For those of us who have matured a bit and enjoy both elegant design language and good sound quality out of such a small, portable unit, go for the Bose. You absolutely will not regret it! Happy listening, Eric.",5
"Bose SoundLink Mini Bluetooth Speaker II (Carbon)","Amazon Customer","The sound quality is fine. But for $200+, I would expect it to be louder. Demand more from companies at this price point.",3
"Bose SoundLink Mini Bluetooth Speaker II (Carbon)","All I Do Is Nguyen","Bose is a well known name and this speaker lives up to their reputation. Great sounding speakers with excellent bass and volume. I have always heard that bluetooth speakers do not sound as good as wired speakers but this is not true. This speaker has exceptional sound quality. The battery can last a full day and the speaker looks modern and sleek. Only thing I dislike is the voice notifies you of disconnects and connects. It has one volume and can't be turned off which can be loud at night when you're trying to be quiet. If the price was lower this would be the ultimate portable speaker.",5
"Bose SoundLink Mini Bluetooth Speaker II (Carbon)","jovigirl","I bought this as a bundle with the echo dot and the philips hue A9 starter kit, the speaker for me and the lights for my husband, This little guy has amazing sound quality and was pretty easy to pair with the Dot. I'm no tech person and will admit it took me a bit longer to figure it out then it should have but still not to bad and was well worth it. I love it and can now take the great sound with me anyplace in the house or outside.",5
"Bose SoundLink Mini Bluetooth Speaker II (Carbon)","Lollygagging","I'm not a stereo expert by any means, which is why I spent as long as I did looking for the right compact speaker to go with my computer. I listen to music while I work and wanted something that had good sound quality but wouldn't take up too much space. This Bose SoundLink Mini Bluetooth Speaker II works perfectly. It fits in the space beneath my 24"" Mac Monitor with inches to spare but doesn't skimp on sound quality. I also got the metallic one, which looks great! It's also linked to my iPhone and works well when I want to bring it to other parts of my apartment. I have experienced some interference when it's connected to my Macbook Pro for music and I move it too far away, but I think that's more a result of Bluetooth than this speaker.",5
"Bose SoundLink Mini Bluetooth Speaker II (Carbon)","Anthoy F. Stefani","Bose does it again. I tried the Bose SoundLink Mini Bluetooth Speaker II out in the store before Christmas and compared it to other similar brands. I trust Bose and own a couple pair of their noise cancelling headphones another original Sound Dock which, even though Bluetooth compatible, seems like a Woolly Mammoth compared to this cute speaker. This speaker puts out a  fantastic, crisp sound, the bluetooth has stayed synced to my computer and/or other devices and it rests on an inconspicuous charging cradle and has a USB charger as well. This speaker is in a large master bedroom at the moment but with the sound it puts out it could easily be placed in a kitchen, living room, dining room etc and you would still be satisfied with the volume and sound quality.",5
"Bose SoundLink Mini Bluetooth Speaker II (Carbon)","Kirby C","This speaker is incredible. People are always surprised to find out that such a small speaker has such high sound quality. Normally I wouldn't want to spend so much on a portable speaker, but my friend got one and after hearing how great it sounds I had to get it! Now my sister is buying one.We use it everywhere; at home, at the pool and at cook outs. The charge lasts a long time and it does't take long to recharge.I should mention that the first one we bought seemed to have been used and didn't hold a charge, so we returned it. The second one we bought came in packaging that clearly hadn't been opened. Word to the wise: don't let a seller pawn off defective merchandise on you. If you don't think it's working properly, return it.",5
