"productName","revAuthor","revText","revRating"
"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers","MissOliviaP","I don't know why there are so many bad reviews. First of, let's start off by pointing out the obvious, it's under $100. You're not going to receive a Kindle Paperwhite. Before you order, read the specs and compare it to the other Kindles. Yes, the specs say it doesn't have backlighting so honestly, there shouldn't be one ounce of surprise when you receive this. I on the other hand, love this little Kindle. I have had the new Kindle Paperwhite and I really didn't like how big it was to hold in my small hands. I don't have children hands, but I'm a female and my hands are on the small side. Maybe for a male this would be kind of small, Idk. Anyway, it is smaller than the Paperwhite, but I love that. I also love the fact that it doesn't come with a light. I used to read at night with the Paperwhite, but that light gave me a headache so I stopped. It is NOT as dark as these bad reviews make it seem. You can read perfectly fine being indoors. They're exaggerating. This feels more like a book to me than the Kindle Paperwhite ever did. The letters on this Kindle are amazing. I don't even notice the difference between ppi and I love that the letters are way darker than the Paperwhite. The paperwhite had a grey hue to them and I didn't feel like I was reading a book. I felt like I actually holding a technical device to read a book. Of course since this doesn't have a backlight, you cannot read in the dark. It's common sense. If you want to read at night, purchase a little book light that are super inexpensive and attach it to your kindle. It's not a big deal and you're not going to break the bank buying a $119.99 item when you can buy this little awesome e-book reader for $79.99. Think about when the light runs out of your expensive other e-books... you will be back to square one and will either have to purchase a new kindle or buy a light for your expensive kindles. You can increase the letter size if you're reading at night with indoor lights and you can read perfectly. It has airplane mode, web search, Goodreads, Amazon store, and bluetooth.So far I haven't had any issues at all. Pages have gone back and fourth perfectly fine. The bookmark tool works like a charm. I love it more than the kindle paperwhite. You can connect your Goodreads account on it, too. I actually use the bluetooth like a audiobook. It reads it for me! Yeah, it sounds a little robotic but it's not anything that bothers me. I love how I can still download PDF documents into it and it opens and works AMAZING! I honestly recommend this e-book reader to anyone that doesn't want to spend over $100 on one. You will not regret it. The battery lasts me a very long while as well. Disconnect it from the internet and bluetooth to save you battery.Thanks Amazon for coming out with such an inexpensive E-book and it's great for the price!! Love it 100%!HOW TO CONNECT IT TO READ OUT LOUD:1. Connect your Kindle to a Bluetooth available device (laptop, speaker, headphone, etc.)2. Once connected to bluetooth go to your Kindle Settings -> Device Options -> Personalize Your Kindle -> VoiceView Screen Reader and turn it ON3. DoneGo back home and click on a book and it will automatically read out loudBy the way, this is my opinion. I'm not a paid reviewer or anything. Just want to help others out, lol. :)",5
"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers","Sara Krzykowski","There are sadly a lot of negative reviews on here, so I though I would add my positive one.I had a second-generation Kindle many years ago, and it has since stopped working. I finally decided to buy a new one.I chose the basic Kindle because that's exactly what I wanted -- a bare-bones e-reader. I have no need for a tablet or anything of the sort. This Kindle delivers on that front in every way possible.At first, I thought I would miss the page turn buttons, and dislike the touch screen. However, I have been delightfully surprised. Tapping the edge of the screen to turn the page is incredibly easy and less intrusive than pushing a button, which was always a nice little jarring reminder that I wasn't, in fact, reading a paperback. The small, quick tap of my thumb on the edge of the screen has become almost like a reflex and I don't notice it anymore; it feels natural.I do slightly miss the metal backing of the older Kindles; it made them feel a bit sturdier, whereas this basic Kindle is just hard plastic. However, I suspect that using a metal casing would up the price considerably, and I feel that the cheaper price of this basic Kindle far outweighs that slight drawback.I bit the bullet and bought one without the special offers. I do not want ads intruding my Kindle experience, even if they only show as the screensaver or on a bar across the bottom of the Home screen. It is just distasteful to me, and the extra 30$ was worth it to me to avoid the ads.I do not need or want a case for my Kindle. I do not like to read with a case on, and it would be cumbersome to remove my Kindle from its case every time I want to read. That being said, this version of Kindle does seem quite fragile, as mentioned before, so when I carry it with me in my purse, I am covering it with a knit beanie hat for now. Eventually I will buy a small soft pouch to store it in; I have seen them for sale here on Amazon.Even though the Kindle seems fragile, the size and weight of the device is a definite advantage while reading. It is so comfortable to hold that it just disappears in your hand and you forget that you are reading from an electronic device. It really is a cool experience.As to the complaints of the screen being dim--it is no dimmer than previous generation Kindles. No, there is no back light. It looks just like a printed page, and can be read easily in all lighting conditions -- whether by lamp or by sunlight. If you find that you are straining your eyes, you can simply adjust the size, font, and spacing of the text to something that better fits your eyes. I personally do not read in bed with the lights off -- I fall asleep while reading like that. However if you are a frequent bed-time reader, you will want to get the Paperwhite, Voyager, or Oasis models.If you've never had a Kindle before, why should you get one? Simple...anyone who loves to read should get one. Now, which model is your personal choice; I have already explained why I love this one. Amazon has millions upon millions of books that are able to be purchased and downloaded to the device. A good fourth of those available are free, and another good chunk are $2 or less. So if the price of the device itself makes you hesitate, it can easily end up paying for itself if you read a lot of free or cheap titles.More and more titles become available for Kindle every day -- when I got my original 2nd Gen Kindle nine years ago, the Harry Potter series was unavailable to Kindle. Now with my new device, it is. The Half-Blood Prince is the first book I downloaded for my new Kindle, since that is where I am at in the series right now, and I could not be happier. They even preserved the chapter illustrations for the e-reader format.Kindle has the ability to store thousands of books, so you shouldn't have to worry about running out of storage. If you do, however, the overflow can be stored on Amazon's Cloud service, so you never have to worry about giving up any of your old favorites. Kindle also gives you the ability to highlight passages, make notes, and bookmark pages. Your Kindle will also always remember what page you left off at, in every book that you have stored on it. Kindle also has the ability to look up words in the dictionary or thesaurus. It really brings reading to a whole new level.Well, that about sums up my review of this model of Kindle, and Kindles in general. To put it simply, this Kindle does what it is advertised to do, and does it, in my opinion, flawlessly. If you want a tablet or a reader with a back light, stay away. If you are new to Kindle and/or want something basic, this is a great device to start with.",5
"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers","Dina","I was so shocked! So, I was going through a book for my PhD dissertation, highlighting parts for further citations in my project. When I was done with it, I realised that instead of scrolling back all the pages of my e-book, looking for the highlights, I can just export them to my e-mail in PDF file. This is life changing for me! I have always preferred paper books to e-books, but this option is a miracle. It saved me hours of work! I am a very happy customer!",5
"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers","Michael Gallagher","I am writing this from the perspective of being a long-time experienced Kindle user vs. someone brand new. From an overall perspective, considering the pricing of the Kindle with Special Offers at $79 vs. higher amounts for the different flavors of Kindle available today, this one is a bargain. If you have wanted to get your kids a Kindle to encourage reading as well as sharing of books but hesitated because $119 to $289+ is a lot of money to risk with a child, maybe at $79 this is your price point.From a size standpoint, the reading screen is the exact same size as the other e-Ink Kindles. It is slightly thinner and lighter than the Kindle Paperwhite, but to me it's not really a noticeable difference when you're holding it in a protective cover.There are no page buttons - no buttons at all except for the power button - and turning the page is as easy as tapping the side of the screen with your thumb while you're reading, or swiping the screen with your finger.Reading is easy on this one: in comparison to my previous version of the same model the letters on the screen are much, much darker and easier to read and the display is crisp. Looking at the display side-by-side in the same location of an eBook against the prior version of Kindle mentioned above, the text on this Kindle is much darker and reads a lot better. Compared to a Paperwhite it is not as dark but those results are to be expected since the Paperwhite has 80%4+ more pixels per inch, but at this price point that's not too big of a concern for me as each new version of the Kindle gets better and better with the fonts and screen display and this one is pretty darn good - you want to be able to read what you're supposed to, right?If you like the text-to-speech feature of previous Kindle models or listened to music with your Kindle Keyboard as an example, please be aware there are no speakers nor is there a plug for headphones.In comparison to the previous version of Kindle this one is replacing, other than the crisper text / fonts from the improved screen display, as far as I can tell this new version of Kindle has the same technical specifications of the previous Kindle: about the same size, same internal memory. If you had a precious version of the Kindle this version is replacing, that means you can use the same cover as the previous version.Battery life is supposed to last ""...weeks on a single charge"" but I doubt it: I charged it up 100% late yesterday afternoon and, 18 hours later, the battery meter is indicating about 75% left. This was after reading for a couple of hours with the Wi-Fi left on but the Kindle not being used overnight as I left it in sleep mode. Time will tell if this is going to be a problem or not.It did take a few minutes to get this model up and running as you first need to connect it to a WiFi connection (this model does not have 3G capability) in addition to the normal making sure it is registered and going through a mandatory tutorial on which areas of the screen to tap to perform various functions.  There is a lot of Amazon marketing you have to weed through: do you want to sign up for Goodreads (an Amazon affiliate), would you like to sign up for Kindle Unlimited (for a monthly recurring revenue stream to Amazon), would you like to link your Facebook and Twitter accounts so your're friends / family / perfect strangers can be voyeuristic on what you are reading (absolutely not for me).  You can also sign up for parental controls with this version which I think is a great idea - sometimes you don't want your children to read what you are reading.Once you have gone through the registration process, if you have previously identified your books into collections this Kindle will perform an automatic import of the various categories / collections you have linked to your Amazon account and links to the books in the Cloud that you can immediately download in the same category on the new Kindle. If you're replacing an older Kindle with this one that could be handy, but if you have other people on your account / family in households with more than one Kindle, that can be a pain in the neck because, for example, my wife and children generally have different tastes in books - I don't want her books cluttering up my Kindle's screen and she feels the same way about mine. IT's not a deal killer, but it does make you wade through a lot of stuff.  One note of caution – if you do a large download of your books from the Cloud to this new Kindle an indexing process will occur.  That will chew up the battery as the Kindle indexes words / phrases in each title imported so you can search for it later.  I haven’t downloaded all of my titles yet, but will do it right before I go to bed one night – with the Kindle connected to a charger so the battery won’t drain down real fast.Opening up the box, included with the Kindle is a micro-USB cord but no power adapter.  Also, if you like reading at night you will need a separate light or be reading in a well-lit room as there is not a built-in backlight like the Kindle Paperwhite.Despite some of my nits above, as a parent whose children can be hard on electronics I like this version, and think with this $79 price point it will help to continue to explode the eBook revolution even faster as they get in more people's hands. If you have not purchased a Kindle before due to price, need a cheaper replacement than the other versions, or maybe a relative or a friend has hesitated to get one this one is in your price zone, I would recommend this one!",4
"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers","Deann","This new Kindle is great!  We are a Kindle loving family.  This new version feels lighter and looks sleek.  It's also slightly smaller than the previous generation (which one of my children own).Two of my children upgraded their older versions (Kindle Touch and Kindle 4th Gen) for this new 8th Gen Kindle.  My son hung on to that Kindle Touch for so long because of the text to speech capabilities.  He was excited to learn about the new VoiceView text to speech capabilities and also thrilled to buy his own bluetooth earbuds.  Naturally this was the first thing he tried out when the Kindle arrived today.  I was dismayed to discover that no Parental Controls can be turned on at the same time as Voice View...  Neither can Freetime be turned on at the same time as VoiceView.I would really appreciate a software update in the future and will update if that happens, but for now I'm quite frustrated to find my son can't use Voice View unless he also has parental controls off (which allows him access to the experimental browser, the Kindle store, the cloud, and Goodreads).*Update*:  We've now had the new 8th Gen. Kindles for 6 days.  My son has figured out that while Parental Controls are on he CAN use VoiceView, but it takes some work.  He goes through the pairing instructions and turns on VoiceView, which does not work the first time.  He goes through the process a second time and it will work.  Mom is happy, child is happy, so I've upgraded the review to 5 stars.  A software update would still be nice to avoid the extra step.",5
"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers","Linda S Fox","Love the new Kindle!  Priced right (with an extra $20 off!), even smaller in my hands than the Kindle with keyboard.  I was sad to lose my old Kindle, but this one is just terrific.",5
"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers","rpv","I got this as a gift and very impressed with the Kindle on the lower end of the spectrum. I have a Kindle Paperwhile, and though I cannot directly compare with it due to their different price points and specs, I will say of you have few more $$ go for the paperwhite. The 300 ppi on the paperwhite does make a difference compared to the 167 ppi on the New Kindle. If you are on a budget this is absolutely perfect. My only request to Amazon is to build a 9” or 13” Kindle. It has definitely a market! I have ordered the 13” Android ereader from Goodereader.This Kindle has no built in lights and is lightweight. Only Kindle lighter than this is the Oasis! I login to my Amazon account and voila! All my books are present.  Feels very thin. If you are travelling and on metro trains most of the time, this is a no brainer. Kindles have come a long way in past several years! They feel light and are excellent for reading purpose. I will any day prefer this over any tablets. No eye strain, I am reading a book and it feels very pleasant with this device. I found one hand reading a breeze! The software has improved leaps and bounds in past few years and I am totally impressed with Amazon’s execution. I still am not sure why Amazon does not include a one dollar wall charger. Someone’s going to fry connecting to a wrong charger.In general the Kindle is a great first foray for ereaders. I have been reading on ereaders for past 6 years and this Kindle has come a long way! If you have last year’s model, do you need to upgrade. Well No. I have a several year old generation. Do I need to upgrade to this. Well Yeah! Reading becomes so much more pleasurable. I have a policy that I do not use a tablet an hour before sleep, but I exempt Kindle as they have no glaring light coming out of it.If you have any questions please ask and I will answer in the comments section within 24 hours.",4
"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers","T.K.R.","As one of the few new readers remaining that has text to speech this comes in very handy.  I have it linked to my Bluetooth speaker and the books are read out loud to me.  The connection sometimes drops but that is because I sometimes don't have it close enough to the speaker.  There is no light on this device but that is not an issue since, I really need the text to speech rather than a better visual.  It's a great inexpensive reader that allows me to have my books with me without having to lug a bunch of paperback or hardbacks around with me.  It is a fantastic entry level reader and beats some of the others since, it does have the text to speech function.",5
"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers","G. Johnston","Used to have the Kindle DX.  Loved it because it was big enough that I wasn't constantly hitting page turn (I'm a fast reader).  But that died last year.  I just got this new one, and, although it took some getting used to, I love it just as much.  Switching from the page turn button to a swipe of the screen took some getting used to, but other than that, the experience is fantastic.  This is a lot thinner than my klunky old DX, but the screen is also a LOT smaller, so I swipe often.  I originally toyed with the idea of getting the version with the Whispersync ability for the $100 extra, but when thinking about it, the only places I will be reading books (home, vacation or public transport) all have ready access to open wifi.  I was at the beach this weekend without wifi and wanted a book, but was able to use the phone as a hotspot and download, so, again, didn't need the Whispersync.  Funny, when I had the DX, I couldn't live without the Whispersync.  Now, I feel like it would have been a waste of my money.  Personal choice, though.  If you've got the extra $100 and don't mind springing for it, go ahead.I would recommend this Kindle.  I bought one of the silicone covers and am very happy with it.",5
"Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers","JavaJoe","Just started using it and it's a keeper. That said, it doesn't 100% meet every expectation since I have a couple of books purchased from Kindle store that are the text book type (scanned pages, not just text) and those books are not compatible with the Kindle. You need a smartphone or tablet with the Amazon Kindle app to read - not even Cloud reader can display the content which is annoying if you just have a small phone. Theoretically, the Fire line would be better for the text books (though I don't own one and not sure), but I wanted the e-ink display for my eyes and battery life.Aside from that the standard Kindle books and even sideloading PDF documents work. The screen is not as crisp as it could be, but this is the entry model and I really just wanted it for the e-ink and sans-backlight which it has. It is more comfortable on my eyes compared to a standard LCD/AMOLED display with a backlight and price is competitive if you look at other iPads or tablets (though the functionality of those options and hardware capabilities does blow the Kindle out of the water).The Kindle reader is a good, lightweight device if you want a dedicated device, buy your books from the Kindle store in the standard format and you want to have the e-ink experience.",4
