Book,AverageRating
330299891,6
375404120,3
9022906116,7
#6612432,5
)416195113,8
)452273056,8
)553267833,7
330486187,6
/8741060773,9
6552412,8
99446782,9
1402.964,9
029764548X,8
330105973,8
440206154,9
671742515,9
907062008,10
0*449002632,7
0*553*072412,5
0*708880258,9
0+399139745,9
0-517-18725-6,4
0.15.602732.1,7
0.330241664,10
0.380.44099.7,10
0.380.50377.8,10
0.473.087979,8
0/330/25864/8,9.25
14025314,6
90,10
10,8
16964,7
20,9
22057,3
29841,9
30670,8
48118,8
51,8
1949,7
1965,7
46565,1
78245,9
1042283,8.5
1077469,6
1246971,8
18030,5
000003827X,8
94072,8
121214523,7
0000225820X,5
6332463,5
6374921,10
6512054,7
6750184,7
7167040,3
722105029,8
913154,8
1016237,10
1033085,7
1046438,9
000104687X,6
1047213,9
1047973,9
000104799X,7.5
1048082,8
1048252,6
1048759,8
000105337X,10
1053736,5
1053744,5
1055607,8
1055666,7
1056107,8
1061127,8
1360469,10
1374362,9
1374869,10
000160418X,7
1700138,9
000171306X,10
1713345,10
1714600,8
1811819,8
1821024,8
1821326,10
1837397,9
1839233,6
1841572,5
1845039,10
1846434,8
1850121,8
1856367,9
1857258,10
000185741X,8
1857428,8
1900277,10
1911619,10
1926284,10
1935968,10
1938134,8
1939203,8
1941941,9
1941968,9
1944088,9
1944711,6
1944916,8
1944940,9
1945181,8
1945203,5
1950827,9
1952803,7
1953877,10
1957406,10
1981307,9
1981323,10
1981625,8
2000369,8
2000547,8
200092,7
2005018,7.6666665
2005050,10
2005115,9
2005395,8
2005549,7
2005557,7
2006588,8
2006758,8
2111314,6
2113406,9
2115328,9
2116286,7.25
211737,9
2118580,8
2132441,9
2139892,8
2153572,7
2154900,8
2154978,9
2157446,8
2157950,10
000215871X,7
2158973,8
2159848,8
2160099,8
2163578,5
2163713,8
2164868,8
2165368,8
2166828,8
2167956,7
2172755,8
2176181,9
2176432,5
2179105,7
2179695,9
2181924,5
2184974,7.5
2187035,5
2187272,10
2187957,9
2189569,4
2190915,9.5
2191792,10
2192101,10
2192152,10
2197154,7
2197286,9
2198274,9
2199009,9
2199793,10
2200309,10
2201240,6
2210436,5
2210479,6
2210967,10
2211890,7.5
2214067,10
2216140,7
000221766X,8
2219980,6
2221810,5
2222469,8
2222752,5
2223139,10
000222335X,7
2223929,8
2224216,9
2226162,9
2226324,8
000222674X,9
2227150,6
2228033,8
2228394,8
2231352,4
000223162X,8
2231689,8
000223257X,7
2232898,7
2233509,10
2235390,6
2235617,9
2236389,8
2236400,9
2237458,7.5
2237520,8
2237857,4
2238464,10
2238896,8
2239183,7.3333335
2240009,8
2240114,6.75
2241358,8
2241471,8
2241871,7
2242591,8
2243016,3
2243296,7
2243776,7
2243792,10
2243806,7
2243857,6.5
2243865,8
2243962,5.75
2244098,6.3333335
2245590,8
2245663,8
2245728,7
2245841,9.5
2246236,9
2246244,8
2246252,9
2246376,6
2246988,7
2247119,8
2247267,10
2250101,7
000225056X,10
2250810,7
2250985,6
2251000,7
2251485,7.5
2251760,9
2251892,6
2252031,7
2252066,9.5
2252341,9
2252376,9
2253100,5
2253151,6
2253178,8
2253305,5.5
2253372,8
2253402,6
2253941,8
2254123,7
2254131,8
000225414X,7.5
2254867,5
2255006,5
2255014,8.666667
2255030,5
2255049,7
2255081,6.25
2255103,5
2255146,9
000225526X,6
2255464,7
2255502,5
2255553,7
2255863,8
2255936,8
2256029,10
2256487,9
000225669X,6
000225672X,8
2256967,8
2257203,8
2257548,9
2257580,7
2257602,3
2257904,6
2258242,7
2258277,10
2258366,7
2258382,5
2258560,7.5
2258579,6.5
2258811,9
2259001,8.333333
2259060,8
000225929X,10
000225946X,9
2259478,6
2259613,6.6666665
2259621,10
2259656,8
2259834,6.875
2259877,6
2259893,10
2259923,7
2261022,7
2261103,8
2261316,5
2261324,8.333333
2261456,4
2261537,7
2261693,8
2261804,5
2261820,7.5
2261847,3
2310597,10
2310694,7
2311216,8
2313219,7
2314878,9
2316196,6.5
2317141,8
2321408,9
2324350,8
2325780,6
2326450,6
2326922,9
254794,9
2550156,5
2550555,7
2550563,6.5
2551195,9
2551462,6
2551675,8
2552175,10
2552574,9
2553384,7
000255397X,9
2554062,10
2554119,7
2554151,9
2554232,10
2554283,8
2555107,7.5
2555298,6
2555565,8
2555603,10
2557029,8.666667
2557398,9
2557517,6
000255755X,10
2558122,8.2
2558661,10
2570122,9
2570807,6
2570815,7.5
2570998,4
2571390,8
2571870,9
262052,10
2621010,8
2621509,9
2712172,7
2713349,7
2713713,8
2726874,8
2727463,10
2740230,7
000274080X,8
3032701,8
3135004,4
3252477,5
3252531,7
3277585,9
3300277,8.6
3700933,7
3701387,8.5
3701484,4
3702588,10
4102169,4
4105028,10
4108043,8
4123948,9
4125436,7
4125479,7
4125495,6
4125576,7.5
4126491,10
4127382,6
4127854,8
000412913X,8
4133412,10
4133439,10
000414077X,9.5
4244117,10
4244141,9
4330706,6
4330919,7
4332040,5
4333349,7
4334566,10
4334787,10
000433549X,9
4356373,10
4472306,7
000458726X,8
4588010,10
4588177,8
4588193,10
4595033,10
4700481,8
4701674,7.6666665
4702816,7
4703669,7
4703723,9
4703898,8
4704746,10
4704754,10
4704932,10
4708105,9
4708717,7
4709721,6
000470973X,6
4709934,8
4709950,9
4720148,8
4720164,7
4720695,7
4722124,8.5
4723023,8
4723171,6
4723708,8
4724097,9
4725042,7
5128412,9
53416,7
5481213,7
59204,8
59238,8
000599134X,10
0006093090X,9
000611962X,7
6121802,9
6121810,4
6125107,5
6127665,8
6127754,7.6666665
6129455,8
6129471,8
6129714,5
6131409,7
6132138,6
6133606,6
000613551X,8
6137121,8
6137156,8
6137962,8
6138179,8
6140378,7
6140831,10
6140858,10
6142737,9
6143199,7
6144500,6
6145264,8
6145892,10
6145922,9
6146570,7
6149995,8
6150624,9
6150853,10
6151752,5
61523,9
6152392,9
6152988,5
6153100,8
6153402,8
6154077,8
6156487,7
6157009,7
6157505,6
6157629,9
6157688,7
615929,5
000615929X,7
6159532,5
6161308,8
6161529,7.5
6161731,8
6161820,4.5
6162630,8
6162657,5
6162746,10
6163041,10
6163831,3
6164498,7
6164625,4
6164757,5
6164897,6
6164900,5
6165109,4
000616532X,8.5
6165338,7
6165400,7.6666665
6165516,7.5
6165591,8
6165710,6
6166490,10
6166512,10
616659,8
6166598,5
6166911,8
6167004,5.3333335
6167144,8
6167241,7.5
6167365,6
6167578,4
6167926,10
6167934,8.5
6168000,8
6168035,8
6168086,8
6168167,8
6168175,5
000616823X,10
6168663,9
6168914,10
6168957,8
6168965,7
6168973,8.5
6169015,8
6169120,8
000616918X,5
6169260,6
6169376,5
6170048,8
6170064,9
6170099,7
6170110,8
6170250,9
6170706,7.5
6170862,6
6171168,5
6171583,6
6171729,9
6171788,6
6171893,8
6171966,5
6171982,7
6172466,8
6172768,7.5
6172830,7
000617342X,2
6173624,8
6174353,8
6174426,5
6174558,7.3333335
6174698,8
6174701,8
6174752,7
6174760,6
6174779,7
6174795,5
6174841,8
6174892,9
000617499X,9
617501,10
6175015,6
6175279,7
6175317,5
6175473,7
6176097,8
000617616X,6.75
6176542,7
6176666,7
6176747,6
6176909,8.25
000617695X,6
6176976,7
6176992,10
6177492,6
6177980,5
6178006,9
6178049,9
6178057,8
6178316,6
6178456,8
6178693,6
6178715,6
6178936,5
6179088,8.5
6179169,7
6179223,8
6179371,8
6240038,8
000624565X,8.333333
6245706,8
6253725,8
6255450,10
6268501,6
6271197,9
6275192,9.5
6278914,8.5
6279945,5
6280625,9
6280803,8
6280838,8
6280951,5
6281257,8
6281443,8
6281656,8
6281729,9
6281745,8
6329101,3
6329527,5
6329535,6
6334075,7
6351484,6
6352537,5
6353282,10
6356095,6
6358594,8
6361684,7.5
6361846,10
6363062,6
6363113,8
6363121,8.5
6364276,7
6364586,7
6364896,6
6364942,9
6364977,8
000636540X,9
6365434,10
6365744,8
6366023,6.5
6367534,4
6367763,8
6369553,10
000636988X,9
6370004,8
6370039,7
6370101,6
6370527,8.5
6370829,9.5
6371248,9
6371647,8
6372295,7
6372570,5
6372899,7
6374603,9
6374921,8.75
6375227,5
6375340,8
6375952,7
000637610X,5
6377157,7.3333335
6377424,8
6377807,8
6377815,7
6377823,7
6377890,4
000637803X,8
6378870,8
000637946X,4
6379540,9
6379583,5
6379702,6
6379834,5
6380158,8
6380263,8
6380921,7.3333335
6380964,8
6382649,6
6382991,10
6383777,6
000638384X,10
6384684,8
6384722,8
6384854,7
6385125,1
6385176,7
6385370,7
6385400,9
6385427,8
6385621,9
6385648,5
6385729,10
6385907,7
6385923,8
6385958,8
6386075,7
6386369,9
6386725,8
6387462,10
6388205,7
000638837X,10
6388515,5
6388973,8
6391079,8
6391389,7.5
6391745,6.5
6391761,6
6391931,10
000639194X,10
6392121,7.25
0006392172PBK,7
63922121,8
6392237,6.5
6392466,5
6392520,5
6392555,7.5
6392725,9
639292,8
000639292X,8
6392938,7
6392954,8
6392962,9
6392970,7
6393012,3
6393071,10
64409422,10
64445,9
644714620,5
646466,7
6470033,9
000647019X,5
6470653,7
6470688,6
6471161,8
6471250,5
6471501,8
6471641,7
6472079,6
6472087,9
6472184,8
6472257,7
6472273,7
6472427,7.5
6472524,9
6472613,8
6472648,7
6473016,8
6473113,10
6473334,9
6473342,6
6473369,8.5
6473377,7
6474004,9
000647425X,8
6474292,7
6474950,6
6475043,8
6475124,7
6475272,6
6475973,7.142857
6476007,10
6476066,7
6476155,7.25
000647618X,8.5
